Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Grown-Up Christmas List,Amy Grant,1992,https://www.youtube.com/watch?v=RmF2rsDHOZc,b535b4c1dc52d7a0561f6a25d92de75bff5e24c845c2ec30e8ecd146a6353a89,Amy Grant - Grown Up Christmas List (Official Music Video),USSP30765471
2,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",Faith Hill,2000,https://www.youtube.com/watch?v=P1qXL1cEgi4,e09e061ba6f180cf323677dca1d8422253fbc60f2f15650af5f7fadb4becf036,Where Are You Christmas (From  Dr. Seuss' How The Grinch Stole Christmas  Soundt,USIR10001309
3,White Christmas,Bing Crosby,1942,https://www.youtube.com/watch?v=LwT3LS1e9aY,d243f405ac2733fa003d3b22a12394d823fe16b3524fe5f6eccd0dcd6f193367,Bing Crosby - White Christmas (Official 1942 Music Video),USMC14203009
4,"Baby, It's Cold Outside",Margaret Whiting,1949,https://www.youtube.com/watch?v=EL77dGKen9M,2cca662d6a39f719e8b8eb981a0781368b2bd0c6f6d1c72aca02f6b739a41060,Johnny Mercer and Margaret Whiting - Baby_ It's Cold Outside [1949],USCA28900227
5,Fröhliche Weihnacht überall,Helene Fischer,2016,https://www.youtube.com/watch?v=HQGhgFY1H3w,94882d0222f20be98090efbeba5b6d3209fbffd3669078beeb9891f8d433c999,Helene Fischer - Heilige Nacht (Fr[LATIN SMALL LETTER O WITH DIAERESIS]hliche We,DEUM71503360
6,Someday At Christmas,Stevie Wonder,1967,https://www.youtube.com/watch?v=MaA7B9cu4kU,36dcba4f49e1457c27105c0774e0ca982559bb17379618a7d0f1a5d8e8dcc3fb,Stevie Wonder_ Andra Day - Someday At Christmas,USMO16782672
7,Winter Wunderland,Yvonne Catterfeld,2015,https://www.youtube.com/watch?v=heswtVIG7jQ,a140be4d09ecfb1d5b2fb4d3e5b5cbf83626df0f5a9ae32d391eb9614fde472e,Winter Wunderland,DEUM71503444
8,Schneemann,Peter Alexander,1978,https://www.youtube.com/watch?v=PWzzVfHKjLg,e213e54165307db230472ba3c53e737c179de5738f993912827e265e94331651,Manuela - Schneemann,DEA817800157
9,Es ist Weihnachtstag,Reinhard Mey,1986,https://www.youtube.com/watch?v=vkIlILXmDI0,b23d745ffe8d11ef1a925876b5497cf5a7e9f19624d4e9dc6265a7758037f114,Reinhard Mey - Es ist Weihnachtstag,DEC648600019
10,Early Christmas Morning,Cyndi Lauper,1997,https://www.youtube.com/watch?v=9n3A_-HRFfc,b4178c8f9635f591f8115341e5cbb47c3c2622f4a7e6a853ac3f2b12f144aa28,Cher - If I Could Turn Back Time (Official Video),USSM19605347
11,Brief an den Weihnachtsmann,Peter Maffay,2007,https://www.youtube.com/watch?v=6OCFU6hocmw,25873e7508537fe888cc46d3da179b0b7f4b6d497a0ad52c1cd1c560327588d0,Brief an den Weihnachtsmann,DEA810700772
12,"Merry Christmas, Happy Holidays",*NSYNC,1998,https://www.youtube.com/watch?v=wKj92352UAE,55e402a2e4d52ca3d7c9fe4a5caa360690103e8a2613928230c3af6ed3f30190,*NSYNC - Merry Christmas_ Happy Holidays (Official HD Video),DEA819800761
13,O du fröhliche,Vicky Leandros,2021,https://www.youtube.com/watch?v=zT_PBXwCLrY,be755e5644a7a980e0d9026832ef102e7f5a608850a0f2117c7fb67cc210d09b,O du fr[LATIN SMALL LETTER O WITH DIAERESIS]hliche (Weihnachten 2020),DEUM71203186
14,Merry Christmas,Ed Sheeran,2017,https://www.youtube.com/watch?v=eiDiKwbGfIY,c1518254a21c948545d31f3be10a104d52d598a5c7a1621937003f1a4ef4df0d,Ed Sheeran - Perfect Symphony [with Andrea Bocelli] (Official Music Video),GBAHS2101360
15,Und Frieden für die Welt,Marquess,2015,https://www.youtube.com/watch?v=m9xmo89I10k,9ce8423f8ff6cb25c1dafb7b24e7db3a57495e84e80b3298ae95aba56d4aa2f0,Und Frieden f[LATIN SMALL LETTER U WITH DIAERESIS]r die Welt (Sing mit),DEUM71503442
16,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,2017,https://www.youtube.com/watch?v=3ZT9_H4-hbM,092de3556744820f123ecb9e2da9323a25b39e643f699e13155c64a41ba30b12,Gwen Stefani - You Make It Feel Like Christmas ft. Blake Shelton,USUM71708114
17,Aba Heidschi Bumbeidschi,Marianne Rosenberg,1977,https://www.youtube.com/watch?v=iEJhFn0ehi0,04c9c8fc2883afcd345a550f2a02f1e13d255e18d32b0ab7132af3ecef5d22ea,Aba Heidschi Bumbeidschi,DEF077704550
18,The Message Is Love,Arthur Baker And The Backbeat Disciples,1989,https://www.youtube.com/watch?v=PNHBO1EHA3A,4a85a96845f22004cb211ea0afff82b11e5f595a5be69a9ca889b2c6ca232944,Arthur Baker & The Backbeat Disciples - The Message Is Love (LYRICS),USAM18900011
19,Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,2001,https://www.youtube.com/watch?v=YiBoWNo6xDs,8b3f9d461f7a4adad4eb8aef63abbfaadd22cc533967d457a56848289f7e02a4,Melanie Thornton - Wonderful Dream (Holidays Are Coming),DEE860100979
20,In der Weihnachtsbäckerei,Rolf Zuckowski,1987,https://www.youtube.com/watch?v=FUMSbUlQ98s,edce560b492d65fb29582f3b33a5232fcad1721087a8531ccfd08f7965a38cb2,Rolf Zuckowski - In der Weihnachtsb[LATIN SMALL LETTER A WITH DIAERESIS]ckerei 1,DEF068706200
21,That's Christmas to Me,Pentatonix,2014,https://www.youtube.com/watch?v=pFjdfjrtf1Q,9c6ae61989aa71e3c91bdec0028b2141f4a4b1aaf38733bcc8b66a2004b37386,Pentatonix - That's Christmas to Me (Official Video),USRC11402150
22,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,1971,https://www.youtube.com/watch?v=2Hydkbk9Y6Y,80c727fa05beb109f8ec90b0b7be6e9c3f70e4724ad1a7e69b48448901065d45,Happy Xmas (War is Over) - John Lennon (1971) 45 Single Vinyl Rip (Merry Christm,GBAYE1000862
23,A Winter's Tale - 2011 Remaster,Queen,1995,https://www.youtube.com/watch?v=CjWQZBmJf6M,c78c1682e764104dd8f208ac55ff23bf5a0d5cdeb3d7c0719a2b4c6c9e3f3883,Queen - A Winter's Tale (Official Video),GBUM71104208
24,Cozy Little Christmas,Katy Perry,2018,https://www.youtube.com/watch?v=sg8Gk1iXEIs,aeaecff9c0c392e6c628903d54be40ceca4fad5cc040a16f8d9d950f1f9d0693,Katy Perry - Cozy Little Christmas,USUM71819190
25,Feliz Navidad,José Feliciano,1970,https://www.youtube.com/watch?v=N8NcQzMQN_U,49a9dab1985eb4c0c3dfabfc861986e2d108e9bd61c8e3a7ab6562e2baeb518c,Jos[LATIN SMALL LETTER E WITH ACUTE] Feliciano - Feliz Navidad (Official Audio),USRC19305793
26,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,1946,https://www.youtube.com/watch?v=1GPE1Q3zqWU,6b91f20bf6492ee27df3d69daae2b14c6e698949893552605f23acd1f4c87576,1946 Vaughn Monroe - Let It Snow! Let It Snow! Let It Snow!,SEWDL0471312
27,"Santa, Can’t You Hear Me",Kelly Clarkson,2021,https://www.youtube.com/watch?v=G7461Gf60ug,53d4963cff70695ca49f801fd4ac36bff17f6aee964ba42cc116782505da20d7,Kelly Clarkson & Ariana Grande - Santa_ Can't You Hear Me (Official Audio),USAT22104760
28,"Ich komm nach Haus (Wenn das Jahr zu Ende geht) (aus ""Sing meinen Song - die Weihnachtsparty, Vol. 6"")",Johannes Oerding,2019,https://www.youtube.com/watch?v=hpcah4o5AMo,be4f0c4255bf5a2e5a862acb4fb81726f24ceb14c31b13fdf42bf20e7eb4e2a5,Ich komm nach Haus (Wenn das Jahr zu Ende geht) (aus  Sing meinen Song - die Wei,DETO31900260
29,A Christmas Song,Shawn Phillips,1999,https://www.youtube.com/watch?v=hG9C0VwruXE,0f9c3483579bf762820be6e20401070709c56f38ff8421d5cf3938388532d01a,Shawn Mullins - Lullaby,USAM10300325
30,Fairytale of New York (feat. Kirsty MacColl),The Pogues,1987,https://www.youtube.com/watch?v=j9jbdgZidu8,fb8cfc49ba7ef02b8b16fd8518071d1498b56d1ee865439f55e3fa6eefd667b0,The Pogues -  Fairytale Of New York (Official Video),GBAHT8703085
31,come out and play,Billie Eilish,2018,https://www.youtube.com/watch?v=cx580raWnIQ,81b9fcdff480fd42dac1390e09b8f3fa6c855aa2d04ffb4c0baa96417decf618,Billie Eilish - come out and play (Official Music Video),USUM71818958
32,All I Want for Christmas Is You,Mariah Carey,1994,https://www.youtube.com/watch?v=yXQViqx6GMY,d6fd1ec7c166feb1e53bdb909573397073b50a9a4234ed541b7d8fd8862d879a,Mariah Carey - All I Want For Christmas Is You (Official Video),USSM19400325
33,Like It's Christmas,Jonas Brothers,2019,https://www.youtube.com/watch?v=tIyE3IrC7r0,9f75525ae20151f39cb603903a2ead780de563e2d98c9072ffec631603d7f084,Jonas Brothers - Like It's Christmas (Official Lyric Video),USUG11903894
34,The Little Drummer Boy - 1965 Version,Harry Simeone Chorale,1965,https://www.youtube.com/watch?v=Kb4iIXzC554,88b1cca75a47f1250ecf27e1299f17677aadb3806761f5efc72d6bb748a298f8,The Little Drummer Boy (1965 Version) - Harry Simeone Chorale | Advent Lyric Vid,USMC16547440
35,The More You Give (The More You'll Have),Michael Bublé,2015,https://www.youtube.com/watch?v=xGhgkBPo2_A,2a6781816266103e8126e83ff52f97370c482108268096ba3764d4f7bd5efa55,Michael Bubl[LATIN SMALL LETTER E WITH ACUTE] - The More You Give (The More You',USRE11500564
